,E,z_PS,z_SS
0,0.50(22),0.0(3.3)e-10,4.4(4.4)e-08
1,0.75(22),0.0(3.3)e-10,4.4(4.4)e-08
2,0.85(22),0.0(3.3)e-10,4.4(4.4)e-08
3,1.0(22),0.0(3.3)e-10,4.4(4.4)e-08
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
