,E,z_PS,z_SS
0,0.63(22),0.0(3.3)e-06,4.4(4.4)e-07
1,0.83(22),0.0(3.3)e-06,4.4(4.4)e-07
2,1.05(22),0.0(3.3)e-06,4.4(4.4)e-07
3,1.25(22),0.0(3.3)e-06,4.4(4.4)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
