,piplus_E,piplus_z_PS,piplus_z_SS
0,0.25(20),0.1(25),0.004(5)
1,0.35(20),0.1(25),0.004(5)
2,0.45(20),0.1(25),0.004(5)
3,0.55(20),0.1(25),0.004(5)
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
