,E,z_PS,z_SS,d_V_dir,d_V_smr,g_V_nm
0,0.95(32),0.0(5.5)e-06,9.2(9.2)e-06,0.000013(13),0.000073(73),2.0(42)
1,1.44(32),0.0(5.5)e-06,9.2(9.2)e-06,0.000013(13),0.000073(73),0.0(1.0)
2,1.64(32),0.0(5.5)e-06,9.2(9.2)e-06,0.000013(13),0.000073(73),0.0(1.0)
3,1.75(32),0.0(5.5)e-06,9.2(9.2)e-06,0.000013(13),0.000073(73),0.0(1.0)
4,,,,,,0.0(1.0)
5,,,,,,0.0(1.0)
6,,,,,,0.0(1.0)
7,,,,,,0.0(1.0)
8,,,,,,0.0(1.0)
9,,,,,,0.0(1.0)
10,,,,,,0.0(1.0)
11,,,,,,0.0(1.0)
12,,,,,,0.0(1.0)
13,,,,,,0.0(1.0)
14,,,,,,0.0(1.0)
15,,,,,,0.0(1.0)
