,E,z_PS,z_SS
0,0.73(22),0.0(7.3)e-07,1.3(1.3)e-06
1,1.10(22),0.0(7.3)e-07,1.3(1.3)e-06
2,1.25(22),0.0(7.3)e-07,1.3(1.3)e-06
3,1.35(22),0.0(7.3)e-07,1.3(1.3)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
