,E,z_PS,z_SS
0,0.59(22),0.0(4.3)e-06,9.4(9.4)e-07
1,0.91(22),0.0(4.3)e-06,9.4(9.4)e-07
2,1.0(22),0.0(4.3)e-06,9.4(9.4)e-07
3,1.2(22),0.0(4.3)e-06,9.4(9.4)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
