,sigma_E,sigma_z_PS,sigma_z_SS
0,0.33(12),1(1.0)e-07,1(1.0)e-07
1,0.4(12),0.5(5.5)e-07,0.5(5.5)e-07
2,0.9(12),0.5(5.5)e-07,0.5(5.5)e-07
3,1.0(32),0.5(5.5)e-07,0.5(5.5)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
