,E,z_PS,z_SS,d_V_dir,d_V_smr,g_V_nm
0,0.85(22),0.0(5.7)e-06,9.0(9.0)e-06,2.4(2.4)e-08,0.000070(70),2.0(42)
1,0.89(42),0.0(5.7)e-06,9.0(9.0)e-06,2.4(2.4)e-08,0.000070(70),0.0(1.0)
2,1.01(42),0.0(5.7)e-06,9.0(9.0)e-06,2.4(2.4)e-08,0.000070(70),0.0(1.0)
3,1.08(42),0.0(5.7)e-06,9.0(9.0)e-06,2.4(2.4)e-08,0.000070(70),0.0(1.0)
4,,,,,,0.0(1.0)
5,,,,,,0.0(1.0)
6,,,,,,0.0(1.0)
7,,,,,,0.0(1.0)
8,,,,,,0.0(1.0)
9,,,,,,0.0(1.0)
10,,,,,,0.0(1.0)
11,,,,,,0.0(1.0)
12,,,,,,0.0(1.0)
13,,,,,,0.0(1.0)
14,,,,,,0.0(1.0)
15,,,,,,0.0(1.0)
