,E,z_PS,z_SS
0,0.14(60),0.125(15),0.00470(50)
1,0.2(60),0.125(15),0.00470(50)
2,0.3(60),0.125(15),0.00470(50)
3,0.4(60),0.125(15),0.00470(50)
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
