,E,z_PS,z_SS
0,0.45(22),0.0(3.3)e-10,2.4(2.4)e-08
1,0.65(22),0.0(3.3)e-10,2.4(2.4)e-08
2,0.8(22),0.0(3.3)e-10,2.4(2.4)e-08
3,0.84(22),0.0(3.3)e-10,2.4(2.4)e-08
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
