,E,z_PS,z_SS
0,0.88(32),0.0(7.0)e-07,1.2(1.2)e-06
1,1.38(32),0.0(7.0)e-07,1.2(1.2)e-06
2,1.55(32),0.0(7.0)e-07,1.2(1.2)e-06
3,1.65(32),0.0(7.0)e-07,1.2(1.2)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
