,E,z_PS,z_SS
0,1.10(32),0.0(3.3)e-06,7.5(7.5)e-06
1,1.64(32),0.0(3.3)e-06,7.5(7.5)e-06
2,1.88(32),0.0(3.3)e-06,7.5(7.5)e-06
3,2.0(32),0.0(3.3)e-06,7.5(7.5)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
