,gmo_E,gmo_z_PS,gmo_z_SS
0,0.001(15),0.7(70),0.7(70)
1,0.002(15),0.7(70),0.7(70)
2,0.005(15),0.7(70),0.7(70)
3,0.006(15),0.7(70),0.7(70)

