,E,z_PS,z_SS
0,1.14(32),0.0(2.3)e-06,4.2(4.2)e-06
1,1.68(32),0.0(2.3)e-06,4.2(4.2)e-06
2,1.95(32),0.0(2.3)e-06,4.2(4.2)e-06
3,2.10(32),0.0(2.3)e-06,4.2(4.2)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
