,E,z_PS,z_SS
0,1.05(22),0.0(3.3)e-07,4.4(4.4)e-06
1,1.58(32),0.0(3.3)e-07,4.4(4.4)e-06
2,1.75(32),0.0(3.3)e-07,4.4(4.4)e-06
3,1.95(32),0.0(3.3)e-07,4.4(4.4)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
