,E,d_A_dir,d_A_smr,g_A_nm,z_PS,z_SS
0,0.85(22),-9.0(9.0)e-09,-6.7(6.7)e-07,-0.3(20),0.0(3.3)e-06,0.000014(14)
1,1.30(32),-9.0(9.0)e-09,-6.7(6.7)e-07,0.0(1.0),0.0(3.3)e-06,0.000014(14)
2,1.48(32),-9.0(9.0)e-09,-6.7(6.7)e-07,0.0(1.0),0.0(3.3)e-06,0.000014(14)
3,1.58(32),-9.0(9.0)e-09,-6.7(6.7)e-07,0.0(1.0),0.0(3.3)e-06,0.000014(14)
4,,,,0.0(1.0),,
5,,,,0.0(1.0),,
6,,,,0.0(1.0),,
7,,,,0.0(1.0),,
8,,,,0.0(1.0),,
9,,,,0.0(1.0),,
10,,,,0.0(1.0),,
11,,,,0.0(1.0),,
12,,,,0.0(1.0),,
13,,,,0.0(1.0),,
14,,,,0.0(1.0),,
15,,,,0.0(1.0),,
