,E,z_PS,z_SS
0,0.241(60),0.1(25),0.004(50)
1,0.3(60),0.1(25),0.004(50)
2,0.4(60),0.1(25),0.004(50)
3,0.5(60),0.1(25),0.004(50)
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
