,E,z_PS,z_SS
0,0.93(22),0.0(3.3)e-08,4.4(4.4)e-07
1,1.38(32),0.0(3.3)e-08,4.4(4.4)e-07
2,1.65(32),0.0(3.3)e-08,4.4(4.4)e-07
3,1.75(32),0.0(3.3)e-08,4.4(4.4)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
