,E,z_PS,z_SS
0,1.17(32),0.0(5.3)e-06,3.4(3.4)e-06
1,1.79(32),0.0(5.3)e-06,3.4(3.4)e-06
2,2.0(32),0.0(5.3)e-06,3.4(3.4)e-06
3,2.15(32),0.0(5.3)e-06,3.4(3.4)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
