,lam_E,lam_z_PS,lam_z_SS
0,0.35(12),0.25(2.5)e-07,0.5(5.5)e-07
1,0.45(32),0.25(2.5)e-07,0.5(5.5)e-07
2,0.55(32),0.25(2.5)e-07,0.5(5.5)e-07
3,0.65(32),0.25(2.5)e-07,0.5(5.5)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
