,E,z_PS,z_SS
0,0.83(22),0.0(2.0)e-06,3.0(3.0)e-06
1,1.28(32),0.0(2.0)e-06,3.0(3.0)e-06
2,1.45(32),0.0(2.0)e-06,3.0(3.0)e-06
3,1.55(32),0.0(2.0)e-06,3.0(3.0)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
