,E,z_PS,z_SS
0,0.71(22),0.0(5.3)e-06,2.4(2.4)e-05
1,0.85(32),0.0(5.3)e-06,2.4(2.4)e-05
2,0.95(32),0.0(5.3)e-06,2.4(2.4)e-05
3,1.1(32),0.0(5.3)e-06,2.4(2.4)e-05
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
