,proton_E,proton_z_PS,proton_z_SS
0,0.61(22),0.0(3.3)e-05,4.4(4.4)e-07
1,0.8(22),0.0(3.3)e-05,4.4(4.4)e-07
2,1.0(22),0.0(3.3)e-06,4.4(4.4)e-07
3,1.1(22),0.0(3.3)e-06,4.4(4.4)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
