,xi_E,xi_z_PS,xi_z_SS
0,0.35(22),0.0(3.3)e-06,0.0(3.3)e-06
1,0.45(22),0.0(3.3)e-06,0.0(3.3)e-06
2,0.55(22),0.0(3.3)e-06,0.0(3.3)e-06
3,0.65(32),0.0(3.3)e-06,0.0(3.3)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
