,E,z_PS,z_SS
0,0.93(22),0.0(2.3)e-06,3.8(3.8)e-06
1,1.48(32),0.0(2.3)e-06,3.8(3.8)e-06
2,1.65(32),0.0(2.3)e-06,3.8(3.8)e-06
3,1.75(32),0.0(2.3)e-06,3.8(3.8)e-06
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
